date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:20:52	43342/43342	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2010:50:52%20GMT	https://auto.mahindra.com/suv/scorpio-n?utm_medium=cpc&utm_source=google_search&utm_content=rsa1&utm_adgroup=2022&utm_term=mahindra%20scorpion%202022&utm_campaign=scorpio_n_snackable_pre_launch_plan_june22&gclid=CjwKCAjwy_aUBhACEiwA2IHHQJWb_lN8xxKOCojByOR0CfTfA-bb6XNk9Y-v8IU2foL8XrqLPk6KyxoCTM8QAvD_BwE	D:/dilshad/others/mahindra/auto.mahindra.com/suv/scorpio-n3b0d.html	(from )
16:20:53	97/97	---MCZ	200	added ('OK')	text/plain	date:Mon,%2006%20Jun%202022%2010:50:52%20GMT	https://auto.mahindra.com/robots.txt		(from )
16:20:53	29979/29979	---M-Z	200	added ('OK')	text/css	etag:bb9c25ec5707450cb11e4a4f4f60e8b2	https://prog-ace-cdn.azureedge.net/-/media/feature/experience-accelerator/bootstrap-4/bootstrap-4/styles/optimized-min.css?rev=44e2d10b52d2490697812ecec6f604fe?t=20200519T114404Z&hash=59DE47C02C0F39F7EA6B3379628C952A	D:/dilshad/others/mahindra/prog-ace-cdn.azureedge.net/-/media/feature/experience-accelerator/bootstrap-4/bootstrap-4/styles/optimized-min551d.css	(from https://auto.mahindra.com/suv/scorpio-n?utm_medium=cpc&utm_source=google_search&utm_content=rsa1&utm_adgroup=2022&utm_term=mahindra%20scorpion%202022&utm_campaign=scorpio_n_snackable_pre_launch_plan_june22&gclid=CjwKCAjwy_aUBhACEiwA2IHHQJWb_lN8xxKOCojByOR0CfTfA-bb6XNk9Y-v8IU2foL8XrqLPk6KyxoCTM8QAvD_BwE)
16:20:53	2109/2109	---M-Z	200	added ('OK')	text/css	etag:6b9ad076e91645b68a6740d97f5ef72a	https://prog-ace-cdn.azureedge.net/-/media/base-themes/dark-theme-main-theme/styles/optimized-min.css?rev=a66d8ccea22b467abba62c6ae96ce7e0?t=20220202T180707Z&hash=31DCF85160B4F2FE9F53EA6A6290A8CE	D:/dilshad/others/mahindra/prog-ace-cdn.azureedge.net/-/media/base-themes/dark-theme-main-theme/styles/optimized-minbf42.css	(from https://auto.mahindra.com/suv/scorpio-n?utm_medium=cpc&utm_source=google_search&utm_content=rsa1&utm_adgroup=2022&utm_term=mahindra%20scorpion%202022&utm_campaign=scorpio_n_snackable_pre_launch_plan_june22&gclid=CjwKCAjwy_aUBhACEiwA2IHHQJWb_lN8xxKOCojByOR0CfTfA-bb6XNk9Y-v8IU2foL8XrqLPk6KyxoCTM8QAvD_BwE)
16:20:54	301753/301753	---M-Z	200	added ('OK')	text/css	etag:1b3291238b7141cc9418dea7a1a9a309	https://prog-ace-cdn.azureedge.net/-/media/themes/mahindra/dotcom/dark-theme/commontheme/styles/optimized-min.css?rev=c583c8e8d5a14a318af6241921229618?t=20220519T153838Z&hash=FDB3A71C91C1CE17888C9F93D19CEE11	D:/dilshad/others/mahindra/prog-ace-cdn.azureedge.net/-/media/themes/mahindra/dotcom/dark-theme/commontheme/styles/optimized-min0fb7.css	(from https://auto.mahindra.com/suv/scorpio-n?utm_medium=cpc&utm_source=google_search&utm_content=rsa1&utm_adgroup=2022&utm_term=mahindra%20scorpion%202022&utm_campaign=scorpio_n_snackable_pre_launch_plan_june22&gclid=CjwKCAjwy_aUBhACEiwA2IHHQJWb_lN8xxKOCojByOR0CfTfA-bb6XNk9Y-v8IU2foL8XrqLPk6KyxoCTM8QAvD_BwE)
16:20:54	147825/147825	---M-Z	200	added ('OK')	text/css	etag:224f0948a9d049599be34d10cc6967ab	https://prog-ace-cdn.azureedge.net/-/media/themes/mahindra/dotcom/dark-theme/scorpioblacktheme/styles/optimized-min.css?rev=16eb2d2694354d34ab2fafae39254e67?t=20220602T110351Z&hash=BD54F4538D314F36B9257940CBDA7C85	D:/dilshad/others/mahindra/prog-ace-cdn.azureedge.net/-/media/themes/mahindra/dotcom/dark-theme/scorpioblacktheme/styles/optimized-minbeab.css	(from https://auto.mahindra.com/suv/scorpio-n?utm_medium=cpc&utm_source=google_search&utm_content=rsa1&utm_adgroup=2022&utm_term=mahindra%20scorpion%202022&utm_campaign=scorpio_n_snackable_pre_launch_plan_june22&gclid=CjwKCAjwy_aUBhACEiwA2IHHQJWb_lN8xxKOCojByOR0CfTfA-bb6XNk9Y-v8IU2foL8XrqLPk6KyxoCTM8QAvD_BwE)
16:20:54	2203/2203	---M-Z	200	added ('OK')	application/x-javascript	etag:%2207b49292a7d51:0%22	https://auto.mahindra.com/layouts/system/VisitorIdentification.js	D:/dilshad/others/mahindra/auto.mahindra.com/layouts/system/VisitorIdentification.js	(from https://auto.mahindra.com/suv/scorpio-n?utm_medium=cpc&utm_source=google_search&utm_content=rsa1&utm_adgroup=2022&utm_term=mahindra%20scorpion%202022&utm_campaign=scorpio_n_snackable_pre_launch_plan_june22&gclid=CjwKCAjwy_aUBhACEiwA2IHHQJWb_lN8xxKOCojByOR0CfTfA-bb6XNk9Y-v8IU2foL8XrqLPk6KyxoCTM8QAvD_BwE)
16:20:55	43342/43342	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2010:50:54%20GMT	https://auto.mahindra.com/suv/scorpio-n	D:/dilshad/others/mahindra/auto.mahindra.com/suv/scorpio-n.html	(from https://auto.mahindra.com/suv/scorpio-n?utm_medium=cpc&utm_source=google_search&utm_content=rsa1&utm_adgroup=2022&utm_term=mahindra%20scorpion%202022&utm_campaign=scorpio_n_snackable_pre_launch_plan_june22&gclid=CjwKCAjwy_aUBhACEiwA2IHHQJWb_lN8xxKOCojByOR0CfTfA-bb6XNk9Y-v8IU2foL8XrqLPk6KyxoCTM8QAvD_BwE)
16:20:55	236/236	---M--	200	added ('OK')	image/png	etag:57b6836567a44114b03f6f5e7854effc	https://auto.mahindra.com/-/media/project/mahindra/dotcom/mahindra/favicon.png?rev=e10fb1c0a8ec4ac1ab0fd645f2547f41&extension=webp	D:/dilshad/others/mahindra/auto.mahindra.com/-/media/project/mahindra/dotcom/mahindra/favicond279.png	(from https://auto.mahindra.com/suv/scorpio-n?utm_medium=cpc&utm_source=google_search&utm_content=rsa1&utm_adgroup=2022&utm_term=mahindra%20scorpion%202022&utm_campaign=scorpio_n_snackable_pre_launch_plan_june22&gclid=CjwKCAjwy_aUBhACEiwA2IHHQJWb_lN8xxKOCojByOR0CfTfA-bb6XNk9Y-v8IU2foL8XrqLPk6KyxoCTM8QAvD_BwE)
16:20:55	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2006%20Jun%202022%2010:50:55%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/dilshad/others/mahindra/www.googletagmanager.com/gtm.85445.delayed	(from https://auto.mahindra.com/suv/scorpio-n?utm_medium=cpc&utm_source=google_search&utm_content=rsa1&utm_adgroup=2022&utm_term=mahindra%20scorpion%202022&utm_campaign=scorpio_n_snackable_pre_launch_plan_june22&gclid=CjwKCAjwy_aUBhACEiwA2IHHQJWb_lN8xxKOCojByOR0CfTfA-bb6XNk9Y-v8IU2foL8XrqLPk6KyxoCTM8QAvD_BwE)
